epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1728.5,1.11428,1.37109,1.01052,1.36107,0.6745,0.51947,0.52283,0.27964,0.6785,0.49612,0.49491,0.19296,1.49516,1.43095,1.36364,1.74582,0.000160577,0.000160577,0.000160577
55,1759.31,1.09396,1.3768,1.00997,1.34259,0.55581,0.53735,0.52345,0.29162,0.54992,0.52087,0.50836,0.21082,1.47332,1.36096,1.33744,1.74255,0.00014789,0.00014789,0.00014789
56,1791.72,1.19442,1.26104,1.04953,1.45195,0.55195,0.49982,0.51789,0.29241,0.54822,0.49073,0.4956,0.21437,1.45224,1.36336,1.33494,1.7327,0.000135202,0.000135202,0.000135202
57,1823.25,1.15714,1.24568,1.00459,1.42622,0.56839,0.5647,0.53638,0.29941,0.55587,0.55426,0.51883,0.227,1.42586,1.34418,1.30126,1.71625,0.000122515,0.000122515,0.000122515
58,1854.55,1.13522,1.21471,0.95299,1.41745,0.72129,0.51469,0.53567,0.29763,0.7326,0.50558,0.52611,0.23118,1.45974,1.35792,1.30962,1.73198,0.000109828,0.000109828,0.000109828
59,1890.67,1.16427,1.24009,0.99084,1.44089,0.7689,0.49608,0.53375,0.29361,0.75396,0.48386,0.5039,0.21238,1.45651,1.36637,1.33599,1.72937,9.71406e-05,9.71406e-05,9.71406e-05
60,1924.37,1.12987,1.20963,0.96262,1.41569,0.75135,0.50269,0.53265,0.29571,0.74732,0.49545,0.51756,0.22493,1.43592,1.34637,1.31977,1.71098,8.44534e-05,8.44534e-05,8.44534e-05
61,1955.15,1.10865,1.19153,0.93386,1.39267,0.73615,0.52729,0.53112,0.29897,0.72945,0.51819,0.52843,0.22802,1.42656,1.32946,1.30676,1.71039,7.17662e-05,7.17662e-05,7.17662e-05
62,1986.55,1.10877,1.18979,0.91613,1.40136,0.74985,0.52915,0.54626,0.30641,0.74592,0.50689,0.52688,0.23785,1.41721,1.31574,1.3019,1.70924,5.90789e-05,5.90789e-05,5.90789e-05
63,2017.85,1.10299,1.20247,0.90683,1.38562,0.73101,0.53339,0.54385,0.30576,0.72879,0.51761,0.52529,0.23273,1.42954,1.33528,1.31928,1.71184,4.63917e-05,4.63917e-05,4.63917e-05
64,2053.5,1.12128,1.20251,0.92166,1.40713,0.7229,0.53686,0.54162,0.30585,0.73508,0.50724,0.53207,0.23068,1.41808,1.32223,1.31178,1.7055,3.37045e-05,3.37045e-05,3.37045e-05
65,2084.21,1.11,1.2029,0.90862,1.40019,0.7304,0.53625,0.54076,0.30523,0.72854,0.51481,0.52968,0.23681,1.42472,1.31831,1.30567,1.71102,2.10172e-05,2.10172e-05,2.10172e-05
