epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1825.7,1.1381,1.42155,1.06406,1.32458,0.7102,0.46605,0.50319,0.30756,0.68984,0.4691,0.48448,0.21977,1.42195,1.45931,1.28099,1.60926,0.000239238,0.000239238,0.000239238
74,1849.28,1.12197,1.38357,1.03973,1.30514,0.68164,0.51101,0.50931,0.29836,0.6823,0.49009,0.48694,0.21745,1.47953,1.51786,1.33977,1.66416,0.000230991,0.000230991,0.000230991
75,1876.43,1.12194,1.4053,1.0313,1.30707,0.71635,0.47145,0.51906,0.31936,0.7256,0.45314,0.50259,0.21911,1.41117,1.47215,1.2653,1.58561,0.000222744,0.000222744,0.000222744
76,1901.08,1.11815,1.38097,1.03421,1.30348,0.71998,0.47528,0.51512,0.30606,0.70662,0.46767,0.49375,0.22032,1.45438,1.53137,1.3023,1.62572,0.000214497,0.000214497,0.000214497
77,1925.21,1.08365,1.37749,0.99392,1.28267,0.54995,0.48416,0.50863,0.29971,0.73558,0.44506,0.48115,0.21836,1.43559,1.48241,1.27225,1.61941,0.000206251,0.000206251,0.000206251
78,1949.01,1.10763,1.38298,0.99559,1.29998,0.6791,0.51216,0.52018,0.31559,0.67396,0.48027,0.48784,0.22444,1.39348,1.46405,1.26554,1.56404,0.000198004,0.000198004,0.000198004
79,1973.22,1.09977,1.36377,0.99107,1.29421,0.69506,0.49678,0.50369,0.30873,0.70175,0.47248,0.48613,0.22831,1.41068,1.45381,1.30469,1.60808,0.000189757,0.000189757,0.000189757
80,1996.85,1.0768,1.3324,0.97792,1.27016,0.52292,0.49498,0.51181,0.30704,0.67492,0.46005,0.48024,0.21513,1.45394,1.48216,1.30811,1.63994,0.000181511,0.000181511,0.000181511
81,2020.89,1.06272,1.32343,0.9536,1.26649,0.57892,0.48295,0.51084,0.31372,0.57488,0.47421,0.49195,0.22866,1.43328,1.46558,1.27322,1.6273,0.000173264,0.000173264,0.000173264
82,2045.08,1.05829,1.34662,0.96009,1.26878,0.57382,0.50687,0.51687,0.31272,0.5728,0.49596,0.49658,0.22299,1.42644,1.43584,1.28202,1.6039,0.000165017,0.000165017,0.000165017
83,2068.99,1.07366,1.34949,0.97804,1.27186,0.72124,0.49754,0.53086,0.32172,0.73213,0.47876,0.50262,0.22736,1.41225,1.42822,1.25639,1.6117,0.000156771,0.000156771,0.000156771
84,2093.18,1.06453,1.34204,0.94483,1.26278,0.60016,0.49226,0.52388,0.31419,0.59864,0.47772,0.50452,0.22634,1.41455,1.44818,1.30833,1.60016,0.000148524,0.000148524,0.000148524
85,2117.37,1.06567,1.31117,0.95523,1.26731,0.61196,0.50264,0.52959,0.32368,0.60807,0.48397,0.51114,0.23382,1.41804,1.42625,1.27334,1.6165,0.000140277,0.000140277,0.000140277
86,2141.39,1.0291,1.29023,0.90183,1.24484,0.57718,0.4993,0.53334,0.32695,0.58369,0.47749,0.5152,0.23917,1.42209,1.43594,1.22891,1.61125,0.000132031,0.000132031,0.000132031
87,2165.69,1.03946,1.29974,0.91698,1.24782,0.59067,0.50562,0.5401,0.3356,0.59292,0.49011,0.52433,0.24456,1.40751,1.40977,1.22598,1.60209,0.000123784,0.000123784,0.000123784
88,2189.4,1.05846,1.32368,0.91657,1.27105,0.57642,0.51478,0.54055,0.3345,0.74876,0.47074,0.51778,0.2381,1.39085,1.405,1.24012,1.58698,0.000115537,0.000115537,0.000115537
89,2213.37,1.03269,1.33818,0.90457,1.2559,0.61099,0.49706,0.53677,0.32916,0.60876,0.49452,0.52013,0.23804,1.39002,1.41724,1.21793,1.59629,0.00010729,0.00010729,0.00010729
90,2237,1.00703,1.26547,0.87609,1.23381,0.57863,0.50144,0.53486,0.3266,0.59247,0.48131,0.51497,0.23539,1.3977,1.43861,1.24194,1.61251,9.90437e-05,9.90437e-05,9.90437e-05
